concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
40bad412-c4fb-4786-bc79-64994c615ef1,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,e006b8e7-a747-4f8e-bf38-6a8a8bdfc59b,Subsumes,2021-01-30,2099-12-31,NA
e006b8e7-a747-4f8e-bf38-6a8a8bdfc59b,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,090bb70f-eeb3-4f7c-b9e4-8d0899110239,Subsumes,2021-01-30,2099-12-31,NA
090bb70f-eeb3-4f7c-b9e4-8d0899110239,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,db5d2b30-8a7a-41bb-b7e0-6dc7648908e1,Subsumes,2021-01-30,2099-12-31,NA
db5d2b30-8a7a-41bb-b7e0-6dc7648908e1,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,d15616ab-6347-4090-81d2-d9eac4e0e49d,Subsumes,2021-01-30,2099-12-31,NA
d15616ab-6347-4090-81d2-d9eac4e0e49d,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,3afa3391-63c2-4d6a-8b42-10f37b9659c1,Subsumes,2021-01-30,2099-12-31,NA
3afa3391-63c2-4d6a-8b42-10f37b9659c1,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,58eafa7d-d352-4668-af4c-1b7d5e69f421,Subsumes,2021-01-30,2099-12-31,NA
58eafa7d-d352-4668-af4c-1b7d5e69f421,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,b5f8f5ae-ef42-4dc4-a121-f1b187b21b4f,Subsumes,2021-01-30,2099-12-31,NA
b5f8f5ae-ef42-4dc4-a121-f1b187b21b4f,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,2077b11c-cd12-470c-a0be-f935b2ac7e27,Subsumes,2021-01-30,2099-12-31,NA
2077b11c-cd12-470c-a0be-f935b2ac7e27,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,cc020067-7a78-41d7-b345-d989d8503949,Subsumes,2021-01-30,2099-12-31,NA
cc020067-7a78-41d7-b345-d989d8503949,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,11063721-8fb9-490c-a961-cd1b8a2ee950,Subsumes,2021-01-30,2099-12-31,NA
11063721-8fb9-490c-a961-cd1b8a2ee950,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,0f35875f-b3af-43d3-bc1d-f3370aa6cb42,Subsumes,2021-01-30,2099-12-31,NA
0f35875f-b3af-43d3-bc1d-f3370aa6cb42,b35bed3d-79cb-4a43-9f38-65a22694475d,Is a,2021-01-30,2099-12-31,NA
